event_id,user_id,event_name,device_type,plan_type,experiment_variant,event_properties,event_timestamp
b049fc74-a036-499f-9833-531faa3eba14,126258fc-e476-4c24-870e-fe0523a432c7,signup,mobile,free,B,"{""source"": ""organic"", ""country"": ""US""}",
7370c845-f853-400c-97d9-d5a20ce0518b,126258fc-e476-4c24-870e-fe0523a432c7,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-02-01
46ad4b1f-ea78-4a6d-90f1-ffccfcd45fd6,126258fc-e476-4c24-870e-fe0523a432c7,feature_a_used,web,free,B,"{""usage_count"": 4}",2024-02-09
0dba94a4-d30b-4a25-8741-9a77748b1e80,126258fc-e476-4c24-870e-fe0523a432c7,feature_b_used,mobile,free,B,"{""usage_count"": 6}",2024-02-23
bece036e-69ed-44ea-8be8-e453d71ba6f6,79e5d8ac-3dd4-4e41-94dc-eff38b98f7bb,signup,mobile,free,B,"{""source"": ""referral"", ""country"": ""CA""}",
f5f4f0dc-4bc6-45a1-a070-f43ad7a563ad,79e5d8ac-3dd4-4e41-94dc-eff38b98f7bb,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-04
4ac43586-b523-40ac-8340-3b486c240348,79e5d8ac-3dd4-4e41-94dc-eff38b98f7bb,feature_a_used,web,free,B,"{""usage_count"": 7}",2024-02-07
ff5a2bd7-ad85-48f3-903a-af86d0283432,79e5d8ac-3dd4-4e41-94dc-eff38b98f7bb,upgrade,web,pro,B,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-27
a631f496-52cb-4b4e-9666-c37f02461d2b,627ae543-da8d-4793-b2d5-205649a77279,signup,web,free,B,"{""source"": ""paid_search"", ""country"": ""CA""}",
70256e45-e456-4e05-ab18-16bfae3f62ee,627ae543-da8d-4793-b2d5-205649a77279,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-25
70dbb017-8fac-4031-8206-75cf68d46dc3,627ae543-da8d-4793-b2d5-205649a77279,feature_a_used,mobile,free,B,"{""usage_count"": 1}",2024-01-26
f90f7dac-db5e-40c0-9c20-fd375f017869,8e8919dc-984d-4e72-bce5-3e4ea2d00563,signup,web,free,B,"{""source"": ""organic"", ""country"": ""IN""}",
67682344-51de-4d77-a1e7-139ecc957a65,8e8919dc-984d-4e72-bce5-3e4ea2d00563,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-03
9852c674-1920-45d1-bc3f-d22f1735e149,8e8919dc-984d-4e72-bce5-3e4ea2d00563,feature_a_used,web,free,B,"{""usage_count"": 1}",2024-02-08
1ddd0582-4b08-4c03-80f5-3cd08f3cfb15,43b5d837-cbb9-483f-98a7-10aaddd43403,signup,mobile,free,A,"{""source"": ""organic"", ""country"": ""IN""}",
d0c57711-ced6-48b3-9baa-b8e3954d7c28,43b5d837-cbb9-483f-98a7-10aaddd43403,cancel,web,pro,A,"{""reason"": ""other""}",2024-04-13
eee71a77-4fe4-4097-9705-5fd5ee788ea4,956355ae-a3b3-4a08-9f03-8e4697a69044,signup,web,free,B,"{""source"": ""sales"", ""country"": ""US""}",
bb59e891-d697-4ddc-bdc5-42bb8514ea5f,956355ae-a3b3-4a08-9f03-8e4697a69044,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-01-27
602fc96e-5285-441c-bad7-4a3b29fa099f,956355ae-a3b3-4a08-9f03-8e4697a69044,upgrade,web,pro,B,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-26
a9b1ff37-d97b-4ec1-a102-2da48061a911,09c0c30e-ad3c-47e7-9bcc-3e9d47b299b7,signup,mobile,free,A,"{""source"": ""organic"", ""country"": ""US""}",
47e10d29-d8dd-416d-9703-bd4ef61187d4,09c0c30e-ad3c-47e7-9bcc-3e9d47b299b7,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-29
31adf9ee-3edc-4deb-a1e5-596e8362540f,09c0c30e-ad3c-47e7-9bcc-3e9d47b299b7,upgrade,web,pro,A,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-11
fbddca30-0db5-47d6-a8d9-e4da8d3fc5b4,91350281-009b-4db8-b553-7e47edc2b916,signup,web,free,B,"{""source"": ""paid_search"", ""country"": ""CA""}",
7ac8ddef-068f-45ef-b75b-5ccc021e05b4,3b44dca3-0219-4626-bf5a-c61a19545372,signup,mobile,free,A,"{""source"": ""organic"", ""country"": ""IN""}",
7d97472e-bf70-4470-a6fe-26d45b8f1e47,94af487f-f3bb-4cfd-bc55-551deadd8a26,signup,web,free,A,"{""source"": ""paid_search"", ""country"": ""IN""}",
55277423-b3f4-468e-8369-275647dc1702,94af487f-f3bb-4cfd-bc55-551deadd8a26,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-27
2ccd16a2-1137-41ac-a423-fbdd7ab84a23,94af487f-f3bb-4cfd-bc55-551deadd8a26,feature_a_used,web,free,A,"{""usage_count"": 7}",2024-02-05
d413b7d6-da72-4412-82a9-cd88b9d24f76,94af487f-f3bb-4cfd-bc55-551deadd8a26,feature_b_used,web,free,A,"{""usage_count"": 4}",2024-02-18
a393bb6b-fcc8-4837-99e5-edb0b468c67a,94af487f-f3bb-4cfd-bc55-551deadd8a26,upgrade,web,pro,A,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-03-09
62334910-d178-4a8e-94ce-51b1e61b72a8,0ace78ef-98e3-499c-bd38-16d5313289b4,signup,mobile,free,A,"{""source"": ""sales"", ""country"": ""CA""}",
979f88b3-f233-476a-9941-ff1fb20569d5,d537f541-e2b5-4592-a61b-f3388977a056,signup,mobile,free,B,"{""source"": ""sales"", ""country"": ""IN""}",
7e6ed361-fc58-424d-a3d3-e95778ca5b30,d537f541-e2b5-4592-a61b-f3388977a056,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-01-27
831fa493-cbec-4d2f-afc9-f658fc1ead2d,5a85d9ce-e55c-471e-89b6-721290fd0307,signup,web,free,B,"{""source"": ""referral"", ""country"": ""US""}",
cc570538-aa25-428c-9ba6-389dc54bcf9c,e12544d9-0621-4714-90f0-eb864b9011a4,signup,web,free,B,"{""source"": ""paid_search"", ""country"": ""DE""}",
bcaa5603-8d2c-4805-9c32-a1ddd09544c5,63c0c643-d473-4772-b0c9-3d98c5984f91,signup,mobile,free,A,"{""source"": ""referral"", ""country"": ""GB""}",
5a75f15c-834d-43c1-b44b-c18faa269516,63c0c643-d473-4772-b0c9-3d98c5984f91,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-29
4e41bbd0-9d3e-494a-afc8-9fb220318cb1,63c0c643-d473-4772-b0c9-3d98c5984f91,upgrade,web,pro,A,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-09
c6d0fe59-1975-4b8c-98ae-0cfcebfcbf29,097725a9-4708-476e-aed1-109d8ea97e76,signup,web,free,A,"{""source"": ""paid_search"", ""country"": ""CA""}",
8175d3df-3e0c-4d0a-98fc-6acd5f8fc811,097725a9-4708-476e-aed1-109d8ea97e76,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-02-03
c31ccd58-3886-4f16-8cca-26c6480191f1,097725a9-4708-476e-aed1-109d8ea97e76,feature_b_used,mobile,free,A,"{""usage_count"": 9}",2024-02-08
481ea6cb-4178-4e31-bb3f-96587ae2be45,097725a9-4708-476e-aed1-109d8ea97e76,upgrade,web,pro,A,"{""from_plan"": ""free"", ""to_plan"": ""pro""}",2024-02-20
7c5945b1-30b8-4640-b852-69d042af1c30,6cb78a50-8c83-47b3-97ac-2e18c24a652c,signup,web,free,A,"{""source"": ""referral"", ""country"": ""US""}",
a9cf4c72-c8ca-4dc4-ad7c-86478d656f59,5b977f4e-b6a6-4aaf-b0fa-e5e7e5824f3c,signup,mobile,free,A,"{""source"": ""organic"", ""country"": ""DE""}",
47849892-1739-4285-b0d5-21d3737ca310,4de4f3ab-9869-47f7-8f9b-314846f5d554,signup,mobile,free,B,"{""source"": ""organic"", ""country"": ""GB""}",
ccf1b2f2-7ed8-47f1-a819-0deccf9199b2,4de4f3ab-9869-47f7-8f9b-314846f5d554,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-01-28
2b357fe0-5e29-4be1-b790-82cf8e25a2e3,f9051f0e-d22e-4f54-88f3-16f510bdeabe,signup,mobile,free,A,"{""source"": ""referral"", ""country"": ""IN""}",
3cac2bd2-ea50-4ef2-9f15-fa858c13dbbf,f9051f0e-d22e-4f54-88f3-16f510bdeabe,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-01
1c54913f-bfc6-45cb-ac22-5fe8078a93bc,8ff25d71-da12-4b77-93ca-19d14ee8c460,signup,web,free,B,"{""source"": ""referral"", ""country"": ""US""}",
fc1ed36e-8769-457e-a514-8bff8582b5bf,8a6feac7-0619-46a0-b989-4d079b384f82,signup,mobile,free,B,"{""source"": ""sales"", ""country"": ""IN""}",
bb2fa95f-7386-4a42-b36f-bfed5aadceef,fa0169a3-c088-4033-907d-0e46fd84fdb0,signup,web,free,A,"{""source"": ""organic"", ""country"": ""DE""}",
7236bf96-78ea-4857-a34f-185e0e7c268d,fa0169a3-c088-4033-907d-0e46fd84fdb0,onboarding_completed,mobile,,,"{""steps_completed"": 5}",2024-01-30
957078cb-7d55-4263-87a3-73cf06116b04,fa0169a3-c088-4033-907d-0e46fd84fdb0,feature_a_used,web,free,A,"{""usage_count"": 3}",2024-02-08
df76bccf-ed8b-4802-853a-a18888979afc,fa0169a3-c088-4033-907d-0e46fd84fdb0,feature_b_used,mobile,free,A,"{""usage_count"": 9}",2024-02-21
93fce41b-85fd-4dbc-9506-0d3cec9fc89f,fa0169a3-c088-4033-907d-0e46fd84fdb0,cancel,mobile,pro,A,"{""reason"": ""price""}",2024-04-15
fae421ba-ad98-4142-9a23-abaa1c5de476,4bdc6fe9-e3fb-4527-a77a-bd43fc87612f,signup,mobile,free,B,"{""source"": ""organic"", ""country"": ""IN""}",
de326285-9155-460e-8b28-7c858108c5d5,4bdc6fe9-e3fb-4527-a77a-bd43fc87612f,onboarding_completed,web,,,"{""steps_completed"": 5}",2024-02-06
7ceb6514-c99d-4ee0-b200-9a28c36b909d,d145c627-4838-42e4-9ad3-34ce7bc962ea,signup,mobile,free,A,"{""source"": ""referral"", ""country"": ""IN""}",
cfb779d6-4c3e-4f80-a689-1d6b16a9e521,03cc8e1b-0bcd-4814-8117-e9a2517dd0d2,signup,web,free,B,"{""source"": ""referral"", ""country"": ""IN""}",
